stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;64;2403.2557443141186;24.19888299777184;34.38262200812562
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;64;1574.6440311119627;12.650259604820839;23.631615516095877
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;16;64;1044.574846871929;5.706637309147761;16.27090960798172
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;64;2389.263263238483;24.79484664416704;34.563516283498224
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;64;1564.3689653676252;12.797750290012635;23.48840960021158
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;32;64;1047.7872637611174;5.8789122295471605;16.375577905803052
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;64;2450.70164278098;25.408255418616147;35.39157915828236
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;64;1555.9265817451258;12.826945614221676;23.66698579772366
generate_water_flow_data;1;1268;ADWIN;increase_lr_only;64;64;1020.147302030234;5.43445613158876;16.066414167714672
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;64;4161.423989664632;51.49973706755316;57.76507692596021
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;64;2799.7090618155007;32.08921388298245;40.97635837256337
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;16;64;1768.238750007857;16.714704614079576;27.08522712536894
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;64;4264.630037148793;52.92085213509452;58.733742968550004
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;64;2822.4791063866955;32.90268838417105;41.38591127333903
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;32;64;1812.322208526625;18.01259812784517;27.909873849751495
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;64;4239.455203449212;53.64843289199753;59.23580319857677
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;64;2877.928966510187;33.57649881543212;42.190724495637454
generate_water_flow_data;1;1268;ADWIN;increase_and_decay_lr;64;64;1818.9049140656625;17.711515023340635;27.97462812135386
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;64;2438.0412804590787;24.438434670566945;34.66353999768583
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;64;1606.620098955257;12.741622390457255;23.839319774517996
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;16;64;1040.2834164172584;5.714179321571633;16.2553487425795
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;64;2364.6994834775282;24.81596182857208;34.44091517253987
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;64;1625.702912282039;13.436886307358627;24.17109758336953
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;32;64;1035.2434223840235;5.869215940440517;16.264800744535084
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;64;2381.9963934769394;24.65990356141655;34.639618620920025
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;64;1608.1356928062867;12.9455035233379;23.99334059680419
generate_water_flow_data;1;1268;PageHinkley;increase_lr_only;64;64;1070.8214687462903;5.795836240853836;16.618632107478042
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;64;4115.837176228483;50.47285176048025;56.90682295640818
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;64;2645.320378541543;30.108516542773415;39.13740340665507
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;16;64;1688.5046798231988;15.428590562608507;25.942849021369277
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;64;4123.186897814852;51.03751245276103;57.120988657559394
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;64;2714.7870041413057;31.262209874799648;39.93079446974696
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;32;64;1690.7597367073192;16.187045306111028;26.23204325472267
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;64;4223.847103426227;52.61542435071955;58.47264795841965
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;64;2733.5889663987027;31.33055896853926;40.212635294543546
generate_water_flow_data;1;1268;PageHinkley;increase_and_decay_lr;64;64;1763.1898475722223;17.086413452755753;27.31938033088101
generate_water_flow_data;1;1268;None;Baseline;16;64;4652.645668893107;57.58782382975956;62.978683879961984
generate_water_flow_data;1;1268;None;Baseline;16;64;3088.622729745155;37.016823488762576;45.19086275161646
generate_water_flow_data;1;1268;None;Baseline;16;64;1959.7939025952053;20.13080883297825;30.10043001327271
generate_water_flow_data;1;1268;None;Baseline;32;64;4635.2133255417675;58.087218953190565;62.9912149759558
generate_water_flow_data;1;1268;None;Baseline;32;64;3131.7120814894397;37.539038125666266;45.4274794947368
generate_water_flow_data;1;1268;None;Baseline;32;64;1995.428018730803;21.00707789856075;30.61951649536207
generate_water_flow_data;1;1268;None;Baseline;64;64;4729.0353935176745;59.137631633625695;63.975219214873455
generate_water_flow_data;1;1268;None;Baseline;64;64;3119.2688192655874;38.03919304994801;45.92432245701254
generate_water_flow_data;1;1268;None;Baseline;64;64;2006.0896401878917;21.262894616198185;31.040374456449996
